Date,AAPL,AMZN,GOOG,IBM,INTC,META,ORCL,NVDA,MSFT,TSLA
10/25/2022,74732300,50934600,29910200,5957600,32205300,38433200,0,50548200,34775500,96507900
10/26/2022,0,0,0,5139000,37111100,0,10693600,53295300,82543200,85012500
10/27/2022,0,0,0,0,0,0,7053000,0,0,0
10/28/2022,164762400,223133400,35696900,5965500,91695700,0,8758100,52104000,40647700,69152400
10/31/2022,97943200,0,0,4915300,0,0,12349000,0,0,61554300
11/1/2022,0,0,0,0,0,110189600,0,0,0,0
11/2/2022,0,0,0,0,0,0,0,0,0,0
11/3/2022,0,0,0,0,0,0,6761200,50006500,0,56538800
11/4/2022,0,0,40173300,4178000,43051900,55638100,7219000,61257600,36789100,0
11/7/2022,83374600,0,26899900,4043100,34389800,81987300,5394300,41006100,33498000,0
11/8/2022,0,0,0,5042800,0,52088300,0,0,28192500,0
11/9/2022,0,0,0,0,0,0,6013700,0,0,0
11/10/2022,118854000,173414900,42371200,5389000,62943900,80671000,0,70081900,46268000,132703000
11/11/2022,93979700,111590500,30569100,5871300,49826500,59961700,7712900,65548700,34620200,114403600
11/14/2022,0,0,24170100,5293500,39395300,53395000,7153000,52785200,0,0
11/15/2022,0,0,31831000,4727100,0,50670500,7618500,0,0,0
11/16/2022,0,87958800,24660200,3445200,0,0,6011900,0,0,0
11/17/2022,80389400,0,21818700,3954000,31983300,35093800,5717300,0,23123500,0
11/18/2022,0,0,0,4661700,0,0,0,0,0,0
11/21/2022,0,0,0,0,0,0,5235400,40473900,26394700,0
11/22/2022,51804100,62192000,18868900,7062100,25584100,29029000,8796200,47286600,19665700,78452300
11/23/2022,58301400,59414700,17568900,0,0,21343100,6347900,42724100,19508500,109536700
11/25/2022,0,0,0,2075200,0,12007600,0,0,9200800,0
